Species,Area(DBH)
Alchornea latifolia,39465.899999999994
Alchorneopsis floribunda,21444.600000000002
Andira inermis,20653.6
Ardisia glauciflora,4443.9
Artocarpus altilis,991.7
Beilschmiedia pendula,105.0
Buchenavia tetraphylla,83922.40000000001
Byrsonima spicata,35297.0
Byrsonima wadsworthii,2851.5
Calophyllum brasiliense,11567.8
Casearia arborea,207148.3
Casearia guianensis,101.9
Casearia sylvestris,42634.0
Cassipourea guianensis,4291.5
Cecropia schreberiana,182904.5
Ceiba pentandra,271.0
Cestrum laurifolium,369.8
Chionanthus domingensis,7615.200000000001
Chione venosa,1349.7
Chrysophyllum argenteum,554.1
Cinnamomum elongatum,63.0
Cinnamomum montanum,512.4
Citharexylum caudatum,90.30000000000001
Citrus X aurantium,96.0
Clusia rosea,1662.6
Coccoloba pyrifolia,3512.5999999999995
Coccoloba spp,23.5
Coccoloba swartzii,9922.9
Coffea arabica,176.39999999999998
Comocladia glabra,190.79999999999998
Cordia borinquensis,15425.5
Cordia sulcata,20057.1
Croton poecilanthus,8096.5
Cyrilla racemiflora,3083.0
Dacryodes excelsa,372475.9
Daphnopsis philippiana,76.69999999999999
Dendropanax arboreus,10482.6
Drypetes alba,334.9
Drypetes glauca,20310.699999999997
Eugenia domingensis,1840.5000000000002
Eugenia eggersii,16.5
Eugenia stahlii,16019.800000000001
Faramea occidentalis,11197.5
Ficus citrifolia,941.0
Ficus crassinervia,1481.0
Ficus spp,10535.0
Ficus trigonata,9685.8
Garcinia portoricensis,2043.2
Genipa americana,105.6
Gonzalagunia  hirsuta,134.8
Guarea glabra,5173.400000000001
Guarea guidonia,101399.1
Guatteria caribaea,18599.199999999997
Guazuma ulmifolia,931.0
Guettarda valenzuelana,13983.5
Henriettea fascicularis,925.9
Henriettea squamulosum,92.2
Hirtella rugosa,27855.2
Homalium racemosum,54151.600000000006
Ilex nitida,40.0
Inga laurina,105122.5
Inga vera,9379.2
Ixora ferrea,10930.400000000001
Laetia procera,18344.3
Lonchocarpus heptaphyllus,392.2
Maesopsis eminii,122.0
Malpighia fucata,287.40000000000003
Mangifera indica,2539.0
Manilkara bidentata,232603.4
Margaritaria nobilis,5769.2
Matayba domingensis,41173.0
Maytenus elongata,476.5
Meliosma herbertii,4588.6
Miconia affinis,115.69999999999999
Miconia impetiolaris,990.0
Miconia mirabilis,912.3
Miconia prasina,5888.900000000001
Miconia racemosa,232.9
Miconia tetrandra,6352.9
Micropholis garciniifolia,2800.1
Micropholis guyanensis,476.2
Myrcia amazonica,6968.3
Myrcia deflexa,7785.300000000001
Myrcia fallax,62.4
Myrcia splendens,5750.099999999999
Nectandra turbacensis,5265.5
Ocotea floribunda,1234.2
Ocotea leucoxylon,30322.8
Ocotea moschata,1607.2000000000003
Ormosia krugii,9908.800000000001
Oxandra laurifolia,2016.2
Palicourea croceoides,861.0
Piper blattarum,438.9
Piper glabrescens,406.3
Piper hispidum,16.2
Pisonia sp. 1 borinquena,836.0
Pleodendron macranthum,309.0
Prestoea acuminata,1254816.4
Pseudolmedia spuria,9791.899999999998
Psychotria berteroana,10832.5
Psychotria brachiata,4440.9
Psychotria deflexa,12.0
Psychotria grandis,537.8000000000001
Pterocarpus officinalis,1726.0
Quararibea turbinata,69.3
Rondeletia portoricensis,197.5
Roystonea borinquena,15457.0
Samyda spinulosa,2248.7
Sapium laurocerasus,9665.400000000001
Schefflera morototoni,106446.0
Simarouba amara,267.5
Sloanea berteroana,160324.69999999998
Spathodea campanulata,43.0
Stenostomum obtusifolium,578.4
Swietenia macrophylla,779.3000000000001
Symplocos martinicensis,698.5999999999999
Syzygium jambos,6083.799999999999
Tabebuia heterophylla,40735.100000000006
Talipariti tiliaceum,1447.6000000000001
Tetragastris balsamifera,48738.399999999994
Tetrazygia urbanii,40.3
Trichilia pallida,24041.1
Turpinia occidentalis,265.0
Urera baccifera,230.5
Xylosma schwaneckeana,55.5
Zanthoxylum martinicense,5553.7
